#{"t_start": 1775121136.9829605, "env_id": "None"}
r,l,t
1151.0,200,88.605597
440.0,81,88.763484
16.0,5,88.774009
-3.0,7,88.789083
1160.0,200,89.159835
12.0,4,89.167319
548.0,93,89.331571
-18.0,13,89.359338
1149.0,200,89.682269
1182.0,200,90.058012
540.0,89,90.22615
-9.0,1,90.22716
396.0,75,90.374405
16.0,5,90.383999
1182.0,200,90.764797
1167.0,200,91.182398
6.0,4,91.192966
1138.0,200,91.562117
-2.0,1,91.564115
-15.0,1,91.565635
-15.0,1,91.570647
-20.0,2,91.572648
383.0,66,91.720693
574.0,103,91.918573
1127.0,200,92.300925
228.0,42,92.385641
1147.0,200,92.748443
1145.0,200,93.110061
-7.0,1,93.111063
287.0,49,93.191952
146.0,26,93.236111
1203.0,200,93.608316
1188.0,200,93.946002
1123.0,200,94.295883
84.0,80,94.432262
612.0,110,94.6023
216.0,200,94.912466
